Ref,Val,Package,PosX,PosY,Rot,Side
"","","",77.470000,-81.280000,0.000000,top
"AE2","Antenna","SMA_Molex_73251-1153_EdgeMount_Horizontal",31.300000,-24.830000,0.000000,top
"BZ1","Buzzer","Buzzer_12x9.5RM7.6",32.407500,-46.580000,0.000000,top
"C1","100nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",162.530000,-88.435000,0.000000,top
"C2","100nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",158.902199,-39.441300,180.000000,top
"C3","100nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",153.822199,-39.441300,180.000000,top
"C4","100nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",141.700001,-84.862500,-90.000000,top
"C5","10uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",70.725000,-57.150000,0.000000,top
"C6","100nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",74.535000,-48.260000,0.000000,top
"C7","47pF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",63.105000,-50.800000,90.000000,top
"C8","22uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",75.805000,-54.610000,180.000000,top
"C9","22uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",75.805000,-57.150000,180.000000,top
"C10","1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",48.260000,-62.865000,90.000000,top
"C11","1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",54.610000,-64.542500,90.000000,top
"D1","LED","LED_1210_3225Metric",144.145000,-90.170000,0.000000,top
"D2","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",33.492500,-56.665000,0.000000,top
"J1","2601-1104","CONN4_2601-1104_WAG",54.269996,-77.550000,0.000000,top
"J3","2601-1104","CONN4_2601-1104_WAG",30.139996,-71.200000,0.000000,top
"L1","6.8uH","L_0603_1608Metric_Pad1.05x0.95mm_HandSolder",78.345000,-50.800000,-90.000000,top
"Q1","NDT3055L","SOT-223-3_TabPin2",42.545000,-62.230000,90.000000,top
"Q2","NDT3055L","SOT-223-3_TabPin2",61.200000,-62.572500,90.000000,top
"R1","1k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",144.632500,-85.090000,0.000000,top
"R2","10k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",132.810001,-83.719099,0.000000,top
"R3","10k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",132.810001,-81.179099,0.000000,top
"R4","158k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",65.645000,-51.157500,90.000000,top
"R5","30.1k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",69.455000,-48.260000,0.000000,top
"U1","Pico","RaspberryPi_Pico_W_SMD_HandSolder",156.845000,-64.770000,90.000000,top
"U2","Ai-Thinker-Ra-01","Ai-Thinker-Ra-01-LoRa",173.355000,-35.560000,-90.000000,top
"U3","MAX-M10S","ublox_MAX",153.035000,-88.265000,-90.000000,top
"U4","ADXL375BCCZ-RL7","LGA_CC-14-1_ADI",137.795000,-83.820000,90.000000,top
"U5","LSM6DSO32TR","LGA-14L_2P5X3X0P83_STM",156.709999,-43.501300,180.000000,top
"U6","MS560702BA03-50","SON8_MS5611_TEC",163.195000,-83.185000,90.000000,top
"U7","AP63300WU-7","TSOT6_AP63300WU-7_DIO",70.725000,-52.070000,0.000000,top
